LncRNA,Environmental factors,P value (FDR correction)
CTB-50E14.6,"Arsenic trioxide (As(2)O(3), ATO)",0.0062 
CTB-50E14.6,Polycyclic aromatic hydrocarbons,0.0062 
CTD-2538C1.2,Ara-C,0.0062 
CTD-2538C1.2,cisplatin (CDDP),0.0062 
CTD-2538C1.2,daunorubicin,0.0062 
CTD-2538C1.2,Mycobacterium leprae,0.0062 
CTD-2538C1.2,thapsigargin-induced intracellular Ca(),0.0062 
CTD-2538C1.2,vincristine (VCR),0.0062 
CTD-3185P2.1,aminoglycoside,0.0062 
DLG1-AS1,"Arsenic trioxide (As(2)O(3), ATO)",0.0062 
DLG1-AS1,Polycyclic aromatic hydrocarbons,0.0062 
HOXA-AS4,Chronic oxidative stress,0.0062 
HOXA-AS4,Necitumumab,0.0062 
KIF9-AS1,"Arsenic trioxide (As(2)O(3), ATO)",0.0062 
KIF9-AS1,Polycyclic aromatic hydrocarbons,0.0062 
MIR497HG,"Arsenic trioxide (As(2)O(3), ATO)",0.0062 
MIR497HG,Polycyclic aromatic hydrocarbons,0.0062 
RP11-1186N24.5,Cyclic mechanical stress (CMS),0.0062 
RP11-1186N24.5,gamma-irradiation and genotoxic drugs,0.0062 
RP11-1186N24.5,methotrexate (MTX),0.0062 
RP11-18A3.4,"Arsenic trioxide (As(2)O(3), ATO)",0.0062 
RP11-18A3.4,Polycyclic aromatic hydrocarbons,0.0062 
RP11-213H15.3,3-nitropropionic acid (3-NPA),0.0062 
RP11-213H15.3,Ara-C,0.0062 
RP11-213H15.3,cisplatin (CDDP),0.0062 
RP11-213H15.3,daunorubicin,0.0062 
RP11-213H15.3,deoxycholic acid,0.0062 
RP11-213H15.3,Mycobacterium leprae,0.0062 
RP11-213H15.3,pacitaxel,0.0062 
RP11-213H15.3,thapsigargin-induced intracellular Ca(),0.0062 
RP11-213H15.3,vincristine (VCR),0.0062 
RP11-2C24.4,"Arsenic trioxide (As(2)O(3), ATO)",0.0062 
RP11-2C24.4,Polycyclic aromatic hydrocarbons,0.0062 
RP11-383J24.5,"Arsenic trioxide (As(2)O(3), ATO)",0.0062 
RP11-383J24.5,Polycyclic aromatic hydrocarbons,0.0062 
RP11-38J22.6,"Arsenic trioxide (As(2)O(3), ATO)",0.0062 
RP11-38J22.6,Polycyclic aromatic hydrocarbons,0.0062 
RP11-429J17.2,Chronic oxidative stress,0.0062 
RP11-429J17.2,Necitumumab,0.0062 
RP11-452F19.3,"LPS, peptidoglycan, or polyinosinic-polycytidylic acid",0.0062 
RP11-452F19.3,serum starvation and chemotherapeutic drug,0.0062 
RP11-461L13.3,"Arsenic trioxide (As(2)O(3), ATO)",0.0062 
RP11-461L13.3,Polycyclic aromatic hydrocarbons,0.0062 
RP11-543D5.2,"Arsenic trioxide (As(2)O(3), ATO)",0.0062 
RP11-543D5.2,Polycyclic aromatic hydrocarbons,0.0062 
RP11-617D20.1,heat stress,0.0062 
RP11-66B24.4,"Arsenic trioxide (As(2)O(3), ATO)",0.0062 
RP11-66B24.4,Polycyclic aromatic hydrocarbons,0.0062 
RP11-677M14.3,"Arsenic trioxide (As(2)O(3), ATO)",0.0062 
RP11-677M14.3,Polycyclic aromatic hydrocarbons,0.0062 
RP11-869B15.1,"Arsenic trioxide (As(2)O(3), ATO)",0.0062 
RP11-869B15.1,Polycyclic aromatic hydrocarbons,0.0062 
RP11-907D1.2,heat stress,0.0062 
RP3-368A4.6,Isoflavone,0.0062 
RP3-486L4.3,"Arsenic trioxide (As(2)O(3), ATO)",0.0062 
RP3-486L4.3,Polycyclic aromatic hydrocarbons,0.0062 
MIR4720,metformin,0.0062 
RP13-507I23.1,metformin,0.0062 
RP11-170L3.8,Arsenic trioxide,0.0062 
SNHG12,Imatinib,0.0063 
XXbac-B461K10.4,hypoxia,0.0064 
AC005943.5,Tamoxifen,0.0064 
RP11-480D4.3,Tamoxifen,0.0064 
AC005076.5,radiation,0.0064 
AC007246.3,radiation,0.0064 
AC108142.1,Oltipraz,0.0064 
AC108142.1,thyrotropin,0.0064 
HOXA11-AS,Glucocorticoids (GCs),0.0064 
MCM3AP-AS1,thyrotropin,0.0064 
RP11-588K22.2,thyrotropin,0.0064 
SLC37A4,thyrotropin,0.0064 
EPB41L4A-AS1,curcumin,0.0064 
AL136419.6,hydroxycamptothecin (HCPT),0.0065 
MEG3,hydroxycamptothecin (HCPT),0.0065 
RP11-420G6.4,hydroxycamptothecin (HCPT),0.0065 
RP1-239B22.5,hydroxycamptothecin (HCPT),0.0065 
PCBP1-AS1,Arsenic,0.0065 
RP11-169K16.9,curcumin,0.0065 
RP11-244O19.1,curcumin,0.0065 
RP11-383C5.4,curcumin,0.0065 
RP4-614O4.11,curcumin,0.0065 
AC092835.2,adriamycin,0.0065 
AF011889.4,Etoposide,0.0065 
AP000721.4,Retinoic Acid,0.0065 
GS1-124K5.11,Retinoic Acid,0.0065 
HCG17,Retinoic Acid,0.0065 
RP11-91G21.2,Retinoic Acid,0.0065 
RP11-983P16.4,Retinoic Acid,0.0065 
SEMA3B,Retinoic Acid,0.0065 
AC006262.5,cisplatin,0.0065 
AC006262.5,cisplatin ,0.0065 
AC092835.2,cisplatin,0.0065 
AC092835.2,cisplatin ,0.0065 
RP11-478C19.2,Epigallocatechin gallate (EGCG),0.0065 
RP11-452L6.5,gemcitabine,0.0066 
RP11-170L3.8,Imatinib,0.0066 
CTD-2245O6.1,adriamycin,0.0068 
LYPD8,Retinoic Acid,0.0068 
RP11-151N17.2,Retinoic Acid,0.0068 
RP11-153A23.6,adriamycin,0.0068 
RP11-508N12.4,Retinoic Acid,0.0068 
RP1-20N2.6,Retinoic Acid,0.0068 
TOB1-AS1,Retinoic Acid,0.0068 
SNHG12,Retinoic Acid,0.0068 
ZNF718,E2?182780,0.0068 
ZNF718,ICI-182780 (Fulvestrant),0.0068 
ZNF718,MPA486,0.0068 
ZNF718,RU486 (Mifepristone),0.0068 
TUG1,Ethanol,0.0069 
RP11-615I2.7,cisplatin,0.0069 
RP11-615I2.7,cisplatin ,0.0069 
RP11-170L3.8,hypoxia,0.0069 
ALMS1-IT1,Imatinib,0.0070 
AC079117.1,Arsenic trioxide,0.0070 
CTD-2538C1.2,Arsenic trioxide,0.0070 
LINC00610,hypoxia,0.0071 
RP11-390P2.4,hypoxia,0.0071 
RP11-690D19.3,tobacco,0.0071 
CWC15,hypoxia,0.0071 
RP11-170L3.8,methacrylic,0.0071 
PCBP1-AS1,Estradiol (E2),0.0071 
RP11-264B17.3,metformin,0.0071 
AC004383.4,"Arsenic trioxide (As(2)O(3), ATO)",0.0071 
AC004383.4,Polycyclic aromatic hydrocarbons,0.0071 
AC006262.5,Ara-C,0.0071 
AC006262.5,cisplatin (CDDP),0.0071 
AC006262.5,daunorubicin,0.0071 
AC006262.5,Mycobacterium leprae,0.0071 
AC006262.5,thapsigargin-induced intracellular Ca(),0.0071 
AC006262.5,vincristine (VCR),0.0071 
AC079767.2,Ara-C,0.0071 
AC079767.2,cisplatin (CDDP),0.0071 
AC079767.2,daunorubicin,0.0071 
AC079767.2,Mycobacterium leprae,0.0071 
AC079767.2,thapsigargin-induced intracellular Ca(),0.0071 
AC079767.2,vincristine (VCR),0.0071 
AC092835.2,3-nitropropionic acid (3-NPA),0.0071 
AC092835.2,Ara-C,0.0071 
AC092835.2,cisplatin (CDDP),0.0071 
AC092835.2,daunorubicin,0.0071 
AC092835.2,deoxycholic acid,0.0071 
AC092835.2,Mycobacterium leprae,0.0071 
AC092835.2,pacitaxel,0.0071 
AC092835.2,thapsigargin-induced intracellular Ca(),0.0071 
AC092835.2,vincristine (VCR),0.0071 
AF011889.4, 5-Aza,0.0071 
AF011889.4,Camptothecin (CPT),0.0071 
AF011889.4,Cyclic mechanical stress (CMS),0.0071 
AF011889.4,gamma-irradiation and genotoxic drugs,0.0071 
AF011889.4,interleukin-6 (IL-6),0.0071 
AF011889.4,methotrexate (MTX),0.0071 
AP000721.4,"Arsenic trioxide (As(2)O(3), ATO)",0.0071 
AP000721.4,Polycyclic aromatic hydrocarbons,0.0071 
CTD-2574D22.4,"Arsenic trioxide (As(2)O(3), ATO)",0.0071 
CTD-2574D22.4,Polycyclic aromatic hydrocarbons,0.0071 
GNAS-AS1,aminoglycoside,0.0071 
GNAS-AS1,Cyclic mechanical stress (CMS),0.0071 
GNAS-AS1,gamma-irradiation and genotoxic drugs,0.0071 
GNAS-AS1,methotrexate (MTX),0.0071 
GS1-124K5.11,"Arsenic trioxide (As(2)O(3), ATO)",0.0071 
GS1-124K5.11,Chronic oxidative stress,0.0071 
GS1-124K5.11,Necitumumab,0.0071 
GS1-124K5.11,Polycyclic aromatic hydrocarbons,0.0071 
HCG17,"Arsenic trioxide (As(2)O(3), ATO)",0.0071 
HCG17,Polycyclic aromatic hydrocarbons,0.0071 
KIAA1984-AS1,Cyclic mechanical stress (CMS),0.0071 
KIAA1984-AS1,gamma-irradiation and genotoxic drugs,0.0071 
KIAA1984-AS1,methotrexate (MTX),0.0071 
LINC00473,"Arsenic trioxide (As(2)O(3), ATO)",0.0071 
LINC00473,Polycyclic aromatic hydrocarbons,0.0071 
RP11-204M4.2,"Arsenic trioxide (As(2)O(3), ATO)",0.0071 
RP11-204M4.2,Polycyclic aromatic hydrocarbons,0.0071 
RP11-449D8.1,Isoflavone,0.0071 
RP11-44F14.11,CagA,0.0071 
RP11-473I1.9,fulvestrant,0.0071 
RP11-498E2.8,Paclitaxel (Taxol),0.0071 
RP11-529K1.2,Paclitaxel (Taxol),0.0071 
RP11-91G21.2,"Arsenic trioxide (As(2)O(3), ATO)",0.0071 
RP11-91G21.2,Polycyclic aromatic hydrocarbons,0.0071 
RP11-983P16.4,"Arsenic trioxide (As(2)O(3), ATO)",0.0071 
RP11-983P16.4,As2O3,0.0071 
RP11-983P16.4,Polycyclic aromatic hydrocarbons,0.0071 
RP4-785G19.5,Ara-C,0.0071 
RP4-785G19.5,cisplatin (CDDP),0.0071 
RP4-785G19.5,daunorubicin,0.0071 
RP4-785G19.5,Mycobacterium leprae,0.0071 
RP4-785G19.5,thapsigargin-induced intracellular Ca(),0.0071 
RP4-785G19.5,vincristine (VCR),0.0071 
SEMA3B,"Arsenic trioxide (As(2)O(3), ATO)",0.0071 
SEMA3B,Polycyclic aromatic hydrocarbons,0.0071 
CTB-25J19.9,sulindac sulfide,0.0072 
FAM201A,metformin,0.0072 
RP11-231E4.4,Human T-lymphotropic virus type 1 (HTLV-1),0.0072 
RP11-347I19.3,HIV,0.0072 
RP11-480D4.3,HIV,0.0072 
RP11-519M16.1,sulindac sulfide,0.0072 
ZNRD1-AS1,Arsenic trioxide,0.0072 
RP11-158I13.2,gefitinib,0.0072 
RP11-449D8.1,4-HPR and EGCG,0.0072 
RP11-449D8.1,Benzo(a)pyrene (BaP),0.0072 
TTN-AS1,Retinoic Acid,0.0073 
EPB41L4A-AS1,cigarette smoke (CS),0.0074 
SENP3-EIF4A1,doxorubicin (Dox),0.0075 
RP11-342K6.1,gefitinib,0.0075 
RP11-478C19.2,gemcitabine,0.0075 
RP5-1172N10.3,drug,0.0075 
AC005532.5,opioids (morphine and heroin),0.0075 
CTB-50L17.7,5-FU,0.0075 
CTC-338M12.2,opioids (morphine and heroin),0.0075 
CTD-2555O16.2,E2?182780,0.0075 
CTD-2555O16.2,ICI-182780 (Fulvestrant),0.0075 
CTD-2555O16.2,MPA486,0.0075 
CTD-2555O16.2,RU486 (Mifepristone),0.0075 
CTD-3185P2.2,vincristine and daunorubicin,0.0075 
LINC00342,5-FU,0.0075 
LINC00482,Calcitonin gene-related peptide,0.0075 
LINC00482,Insulin,0.0075 
NOP14-AS1,opioids (morphine and heroin),0.0075 
RP11-1006G14.4,E2?182780,0.0075 
RP11-1006G14.4,ICI-182780 (Fulvestrant),0.0075 
RP11-1006G14.4,MPA486,0.0075 
RP11-1006G14.4,RU486 (Mifepristone),0.0075 
RP11-1055B8.4,anabolic stimulus,0.0075 
RP11-1055B8.4,glucose,0.0075 
RP11-115C21.2,5-FU,0.0075 
RP11-132A1.3,vincristine and daunorubicin,0.0075 
RP11-174G17.2,opioids (morphine and heroin),0.0075 
RP11-264L1.3,opioids (morphine and heroin),0.0075 
RP11-396C23.2,E2?182780,0.0075 
RP11-396C23.2,ICI-182780 (Fulvestrant),0.0075 
RP11-396C23.2,MPA486,0.0075 
RP11-396C23.2,RU486 (Mifepristone),0.0075 
RP11-418J17.1,5-FU,0.0075 
RP11-492E3.2,E2?182780,0.0075 
RP11-492E3.2,ICI-182780 (Fulvestrant),0.0075 
RP11-492E3.2,MPA486,0.0075 
RP11-492E3.2,RU486 (Mifepristone),0.0075 
RP11-706J10.1,E2?182780,0.0075 
RP11-706J10.1,ICI-182780 (Fulvestrant),0.0075 
RP11-706J10.1,MPA486,0.0075 
RP11-706J10.1,RU486 (Mifepristone),0.0075 
SLC38A3,anabolic stimulus,0.0075 
SLC38A3,glucose,0.0075 
EMG1,progestin,0.0075 
RP11-690G19.3,progestin,0.0075 
CTD-3064H18.6,Imatinib,0.0077 
RP11-371I1.2,Imatinib,0.0077 
RP11-420G6.4,docetaxel,0.0077 
RP11-73K9.2,Imatinib,0.0077 
RP13-890H12.2,Imatinib,0.0077 
TPT1-AS1,Imatinib,0.0077 
CTD-2516F10.2,drug,0.0077 
LL22NC03-N27C7.1,drug,0.0077 
PDXDC2P,drug,0.0077 
RP11-549J18.1,drug,0.0077 
RP11-697M17.1,drug,0.0077 
RP5-1028K7.2,drug,0.0077 
YLPM1,drug,0.0077 
RP5-1180C10.2,docetaxel,0.0077 
NUTM2A-AS1,irradiation,0.0077 
EPB41L4A-AS1,hypoxia,0.0077 
AC004696.2,iron- and aluminum-sulfate,0.0077 
AC009133.15,iron- and aluminum-sulfate,0.0077 
AC009133.15,the combination carboplatin/cisplatin with paclitaxel,0.0077 
AC010226.4,5-Aza-CdR and/or PBA,0.0077 
AC013268.5,nutlin-3a,0.0077 
AC034220.3,swine influenza virus (SIV),0.0077 
AC121336.2,5-fluorouracil-based antimetabolite S-1,0.0077 
AC121336.2,Doxifluridine,0.0077 
AC121336.2,Oxaliplatin,0.0077 
CERS6-AS1,nicotine,0.0077 
CTD-2314B22.3,medroxyprogesterone acetate (MPA),0.0077 
CTD-2319I12.1,iron- and aluminum-sulfate,0.0077 
CTD-2339L15.3,nicotine,0.0077 
DLGAP1-AS1,medroxyprogesterone acetate (MPA),0.0077 
LINC00649,nicotine,0.0077 
MEG8,nicotine,0.0077 
RNU4ATAC,swine influenza virus (SIV),0.0077 
RP11-155D18.12,nicotine,0.0077 
RP11-234O6.2,swine influenza virus (SIV),0.0077 
RP11-244H3.1,nicotine,0.0077 
RP11-276H19.2,medroxyprogesterone acetate (MPA),0.0077 
RP11-325K4.3,iron- and aluminum-sulfate,0.0077 
RP11-329L6.1,nicotine,0.0077 
RP11-420G6.4,nutlin-3a,0.0077 
RP11-473M20.16,capecitabine,0.0077 
RP11-473M20.16,"metal (magnesium-, iron-, gallium, and aluminum)-sulfate",0.0077 
RP11-715F3.2,5-fluorouracil-based antimetabolite S-1,0.0077 
RP11-715F3.2,Doxifluridine,0.0077 
RP11-715F3.2,Oxaliplatin,0.0077 
RP4-694B14.5,vincristine,0.0077 
RP4-714D9.5,swine influenza virus (SIV),0.0077 
RP5-1120P11.1,iron- and aluminum-sulfate,0.0077 
RP5-1148A21.3,nicotine,0.0077 
RP6-206I17.2,nicotine,0.0077 
SNHG6,medroxyprogesterone acetate (MPA),0.0077 
SPTY2D1-AS1,capecitabine,0.0077 
SPTY2D1-AS1,"metal (magnesium-, iron-, gallium, and aluminum)-sulfate",0.0077 
TBX5-AS1,swine influenza virus (SIV),0.0077 
ZNF833P,cytomegalovirus,0.0077 
ZNF833P,hepatitis B virus (HBV),0.0077 
ZNF833P,Oltipraz,0.0077 
DCP1A,Retinoic Acid,0.0078 
AC003104.1,curcumin,0.0078 
RP11-21N3.1,curcumin,0.0078 
RP11-170L3.8,exercise,0.0078 
LINC00641,gemcitabine,0.0078 
AC009133.15,exercise,0.0078 
CTB-102L5.7,exercise,0.0078 
LINC00665,methacrylic,0.0078 
RP11-108M9.3,exercise,0.0078 
RP11-316M1.11,exercise,0.0078 
RP5-875O13.1,exercise,0.0078 
RP1-283E3.8,hypoxia,0.0078 
ZNF518A,curcumin,0.0078 
AC007228.9,Isoflavone,0.0078 
AC009299.3,Ara-C,0.0078 
AC009299.3,cisplatin (CDDP),0.0078 
AC009299.3,daunorubicin,0.0078 
AC009299.3,Mycobacterium leprae,0.0078 
AC009299.3,thapsigargin-induced intracellular Ca(),0.0078 
AC009299.3,vincristine (VCR),0.0078 
AC093323.3,Cyclic mechanical stress (CMS),0.0078 
AC093323.3,gamma-irradiation and genotoxic drugs,0.0078 
AC093323.3,methotrexate (MTX),0.0078 
AP001065.2,"Arsenic trioxide (As(2)O(3), ATO)",0.0078 
AP001065.2,Polycyclic aromatic hydrocarbons,0.0078 
BOLA3-AS1,As2O3,0.0078 
CTD-2020K17.1,3-nitropropionic acid (3-NPA),0.0078 
CTD-2020K17.1,aminoglycoside,0.0078 
CTD-2020K17.1,deoxycholic acid,0.0078 
CTD-2020K17.1,pacitaxel,0.0078 
RP11-125K10.4,"Arsenic trioxide (As(2)O(3), ATO)",0.0078 
RP11-125K10.4,Polycyclic aromatic hydrocarbons,0.0078 
RP11-203J24.9,3-nitropropionic acid (3-NPA),0.0078 
RP11-203J24.9,deoxycholic acid,0.0078 
RP11-203J24.9,pacitaxel,0.0078 
RP11-282K24.3,"Arsenic trioxide (As(2)O(3), ATO)",0.0078 
RP11-282K24.3,Polycyclic aromatic hydrocarbons,0.0078 
RP11-395G23.3,Cyclic mechanical stress (CMS),0.0078 
RP11-395G23.3,gamma-irradiation and genotoxic drugs,0.0078 
RP11-395G23.3,methotrexate (MTX),0.0078 
RP11-453E17.1,"Arsenic trioxide (As(2)O(3), ATO)",0.0078 
RP11-453E17.1,Polycyclic aromatic hydrocarbons,0.0078 
RP11-477D19.2,"Arsenic trioxide (As(2)O(3), ATO)",0.0078 
RP11-477D19.2,fulvestrant,0.0078 
RP11-477D19.2,Polycyclic aromatic hydrocarbons,0.0078 
RP11-53I6.2,fulvestrant,0.0078 
RP11-540O11.1,"Arsenic trioxide (As(2)O(3), ATO)",0.0078 
RP11-540O11.1,Polycyclic aromatic hydrocarbons,0.0078 
RP1-184J9.2,CagA,0.0078 
RP1-265C24.9,Ara-C,0.0078 
RP1-265C24.9,cisplatin (CDDP),0.0078 
RP1-265C24.9,daunorubicin,0.0078 
RP1-265C24.9,Mycobacterium leprae,0.0078 
RP1-265C24.9,thapsigargin-induced intracellular Ca(),0.0078 
RP1-265C24.9,vincristine (VCR),0.0078 
RP3-523K23.2,Isoflavone,0.0078 
RP4-671G15.3,Cyclic mechanical stress (CMS),0.0078 
RP4-671G15.3,gamma-irradiation and genotoxic drugs,0.0078 
RP4-671G15.3,methotrexate (MTX),0.0078 
RP4-697K14.12,Cyclic mechanical stress (CMS),0.0078 
RP4-697K14.12,gamma-irradiation and genotoxic drugs,0.0078 
RP4-697K14.12,"LPS, peptidoglycan, or polyinosinic-polycytidylic acid",0.0078 
RP4-697K14.12,methotrexate (MTX),0.0078 
RP4-697K14.12,serum starvation and chemotherapeutic drug,0.0078 
ZNF883,Ara-C,0.0078 
ZNF883,cisplatin (CDDP),0.0078 
ZNF883,daunorubicin,0.0078 
ZNF883,Mycobacterium leprae,0.0078 
ZNF883,thapsigargin-induced intracellular Ca(),0.0078 
ZNF883,vincristine (VCR),0.0078 
C14orf169,hypoxia,0.0079 
AC090587.2,hypoxia,0.0079 
RP11-38J22.6,hypoxia,0.0079 
AC121336.2,hypoxia,0.0079 
RP11-715F3.2,hypoxia,0.0079 
SNHG6,hypoxia,0.0079 
RP11-492E3.1,Estradiol (E2),0.0079 
LINC00657,paclitaxel,0.0079 
NUTM2A-AS1,hypoxia,0.0080 
AC009299.3,docetaxel,0.0081 
RP11-540O11.1,docetaxel,0.0081 
ZNF883,docetaxel,0.0081 
GAS5,HCV,0.0082 
KCNQ1OT1,Etoposide,0.0082 
CTC-459F4.3,Arsenic trioxide,0.0082 
RP11-125K10.4,Retinoic Acid,0.0083 
RP11-282K24.3,Retinoic Acid,0.0083 
RP11-453E17.1,Retinoic Acid,0.0083 
RP11-477D19.2,Retinoic Acid,0.0083 
HOXD-AS1,irradiation,0.0083 
RP11-342K6.1,Epigallocatechin gallate (EGCG),0.0084 
FENDRR,drug,0.0084 
HOXD-AS1,drug,0.0084 
ZNF518A,irradiation,0.0085 
C14orf169,Retinoic Acid,0.0085 
RP11-1103G16.1,adriamycin,0.0085 
RP11-282O18.6,Retinoic Acid,0.0085 
AL589743.1,E2?182780,0.0085 
AL589743.1,ICI-182780 (Fulvestrant),0.0085 
AL589743.1,MPA486,0.0085 
AL589743.1,RU486 (Mifepristone),0.0085 
RP11-31E23.1,E2?182780,0.0085 
RP11-31E23.1,ICI-182780 (Fulvestrant),0.0085 
RP11-31E23.1,MPA486,0.0085 
RP11-31E23.1,RU486 (Mifepristone),0.0085 
AC079117.1,exercise,0.0085 
CTD-2538C1.2,exercise,0.0085 
LINC00665,heat stress,0.0085 
SNHG16,paclitaxel,0.0086 
AC006262.5,5-aza-2'-deoxycytidine ,0.0086 
AC079767.2,5-aza-2'-deoxycytidine ,0.0086 
RP4-785G19.5,5-aza-2'-deoxycytidine ,0.0086 
PTCHD3P1,adriamycin,0.0086 
AC007228.9,4-HPR and EGCG,0.0086 
AC007228.9,Benzo(a)pyrene (BaP),0.0086 
DANCR,paclitaxel,0.0086 
RP11-282O18.3,17beta-estradiol (E(2)),0.0086 
RP11-38P22.2,gefitinib,0.0086 
RP3-523K23.2,4-HPR and EGCG,0.0086 
RP3-523K23.2,Benzo(a)pyrene (BaP),0.0086 
SIK3-IT1,hydroxycamptothecin (HCPT),0.0086 
GAS5,HIV,0.0087 
RP1-178F10.3,fludarabine,0.0087 
XXbac-BPG32J3.20,exercise,0.0087 
CTC-228N24.3,irradiation,0.0088 
RP11-618G20.1,Polyunsaturated fatty acids (PUFAs),0.0089 
AC121336.2,temozolomide,0.0089 
CERS6-AS1,ionising radiation,0.0089 
CTD-2339L15.3,ionising radiation,0.0089 
CTD-3099C6.9,Arsenic,0.0089 
LINC00649,ionising radiation,0.0089 
MEG8,ionising radiation,0.0089 
PCBP1-AS1,iron- and aluminum-sulfate,0.0089 
RP11-155D18.12,ionising radiation,0.0089 
RP11-244H3.1,ionising radiation,0.0089 
RP11-329L6.1,ionising radiation,0.0089 
RP11-715F3.2,temozolomide,0.0089 
RP5-1148A21.3,ionising radiation,0.0089 
RP6-206I17.2,ionising radiation,0.0089 
UHRF1,iron- and aluminum-sulfate,0.0089 
SNHG7,Tamoxifen,0.0089 
ALMS1-IT1,Tamoxifen,0.0089 
AC000120.7,air pollution in steel factory,0.0089 
AC000120.7,fulvestrant,0.0089 
CTC-459F4.3,3-nitropropionic acid (3-NPA),0.0089 
CTC-459F4.3,Cyclic mechanical stress (CMS),0.0089 
CTC-459F4.3,deoxycholic acid,0.0089 
CTC-459F4.3,gamma-irradiation and genotoxic drugs,0.0089 
CTC-459F4.3,methotrexate (MTX),0.0089 
CTC-459F4.3,pacitaxel,0.0089 
GS1-251I9.4,As2O3,0.0089 
LINC00511,"Arsenic trioxide (As(2)O(3), ATO)",0.0089 
LINC00511,Chronic oxidative stress,0.0089 
LINC00511,Necitumumab,0.0089 
LINC00511,Polycyclic aromatic hydrocarbons,0.0089 
LINC00610,CagA,0.0089 
RP11-29G8.3, 5-Aza,0.0089 
RP11-29G8.3,CagA,0.0089 
RP11-29G8.3,Camptothecin (CPT),0.0089 
RP11-29G8.3,interleukin-6 (IL-6),0.0089 
RP11-372K14.2,3-nitropropionic acid (3-NPA),0.0089 
RP11-372K14.2,deoxycholic acid,0.0089 
RP11-372K14.2,fulvestrant,0.0089 
RP11-372K14.2,pacitaxel,0.0089 
RP11-390P2.4,"Arsenic trioxide (As(2)O(3), ATO)",0.0089 
RP11-390P2.4,Polycyclic aromatic hydrocarbons,0.0089 
RP11-464F9.1,"Arsenic trioxide (As(2)O(3), ATO)",0.0089 
RP11-464F9.1,Polycyclic aromatic hydrocarbons,0.0089 
RP11-498E2.8,Tamoxifen,0.0089 
RP11-529K1.2,Tamoxifen,0.0089 
RP11-65F13.2,Isoflavone,0.0089 
SCGB1B2P,"Arsenic trioxide (As(2)O(3), ATO)",0.0089 
SCGB1B2P,Polycyclic aromatic hydrocarbons,0.0089 
U47924.19,Chronic oxidative stress,0.0089 
U47924.19,Necitumumab,0.0089 
MIR4720,paclitaxel,0.0089 
RP11-473I1.10,gemcitabine,0.0090 
RP11-477D19.2,ionizing radiation,0.0090 
RP11-73M18.8,paclitaxel,0.0090 
C11orf95,Glucocorticoids (GCs),0.0091 
AC084219.4,Arsenic trioxide,0.0091 
AC108142.1,irradiation,0.0092 
LINC00667,Arsenic trioxide,0.0092 
RP11-421L21.3,Estradiol (E2),0.0092 
AC092535.3,opioids (morphine and heroin),0.0092 
KB-1732A1.1,irradiation,0.0092 
PSMD6-AS2,Arsenic trioxide,0.0092 
RP11-267N12.3,irradiation,0.0092 
RP11-298I3.1,Arsenic trioxide,0.0092 
AC074117.10,metformin,0.0092 
CDKN2B-AS1,doxorubicin (Dox),0.0092 
RP11-159D12.9,curcumin,0.0092 
AC005154.5,HIV,0.0092 
RP11-478C19.2,fludarabine,0.0092 
RP11-27I1.2,irradiation,0.0092 
RP11-819C21.1,Arsenic trioxide,0.0092 
SNHG1,irradiation,0.0092 
AC016629.8,curcumin,0.0092 
C1RL-AS1,curcumin,0.0092 
RP11-773D16.1,curcumin,0.0092 
GNAS-AS1,H2O2,0.0092 
AC005537.2,nicotine,0.0092 
AC011893.3,nicotine,0.0092 
AC074093.1,nicotine,0.0092 
AC091878.1,nicotine,0.0092 
AC093627.10,swine influenza virus (SIV),0.0092 
APCDD1L-AS1,Ethanol,0.0092 
CTC-246B18.8,nicotine,0.0092 
CTC-308K20.1,Ethanol,0.0092 
CTC-429P9.3,nicotine,0.0092 
CTD-2196E14.9,gefitinib,0.0092 
CTD-2201E18.3,nicotine,0.0092 
CTD-3195I5.1,cytomegalovirus,0.0092 
CTD-3195I5.1,hepatitis B virus (HBV),0.0092 
CTD-3195I5.1,Oltipraz,0.0092 
DAPK1-IT1,swine influenza virus (SIV),0.0092 
EPHA1-AS1,gefitinib,0.0092 
ERVK13-1,nicotine,0.0092 
IQCH-AS1,nicotine,0.0092 
LINC00205,medroxyprogesterone acetate (MPA),0.0092 
PITPNA-AS1,swine influenza virus (SIV),0.0092 
PSMD6-AS2,5-fluorouracil-based antimetabolite S-1,0.0092 
PSMD6-AS2,Doxifluridine,0.0092 
PSMD6-AS2,Oxaliplatin,0.0092 
RASAL2-AS1,nicotine,0.0092 
RP1-102H19.6,gefitinib,0.0092 
RP11-109M17.2,Ethanol,0.0092 
RP11-278A23.2,vincristine,0.0092 
RP11-298I3.1,capecitabine,0.0092 
RP11-298I3.1,"metal (magnesium-, iron-, gallium, and aluminum)-sulfate",0.0092 
RP11-380L11.4,nutlin-3a,0.0092 
RP11-425M5.5,gefitinib,0.0092 
RP11-43D2.6,nicotine,0.0092 
RP11-443N24.2,gefitinib,0.0092 
RP11-474P12.5,nicotine,0.0092 
RP11-496I9.1,nutlin-3a,0.0092 
RP11-60I3.5,nicotine,0.0092 
RP11-640M9.1,gefitinib,0.0092 
RP1-310O13.12,nicotine,0.0092 
RP3-508I15.9,swine influenza virus (SIV),0.0092 
WASIR2,medroxyprogesterone acetate (MPA),0.0092 
AC005943.5,doxorubicin (Dox),0.0094 
RP11-480D4.3,doxorubicin (Dox),0.0094 
